source,config,coding_system,concept,n_ref,n_pred,precision,recall,F1,jaccard,exact_set,taxonomy,convention_native_vs_OMOP
darwin,GPT-4o-ACT,SNOMED,outcome,3,0,,0.0,,0.0,0,vi_omission,0
darwin,DeepSeek-R1-LTM,SNOMED,outcome,3,0,,0.0,,0.0,0,vi_omission,0
darwin,GPT-4o-LTM,SNOMED,outcome,9,0,,0.0,,0.0,0,vi_omission,0
darwin,GPT-4o-ACT,SNOMED,outcome,9,0,,0.0,,0.0,0,vi_omission,0
darwin,DeepSeek-R1-LTM,SNOMED,outcome,9,0,,0.0,,0.0,0,vi_omission,0
darwin,GPT-4o-LTM,ATC,exposure,20,6,0.3333333333333333,0.1,0.15384615384615383,0.08333333333333333,0,correct,0
darwin,GPT-4o-ACT,ATC,exposure,20,7,0.42857142857142855,0.15,0.2222222222222222,0.125,0,correct,0
darwin,DeepSeek-R1-LTM,ATC,exposure,20,4,0.25,0.05,0.08333333333333334,0.043478260869565216,0,correct,0
darwin,GPT-4o-LTM,SNOMED,outcome,6,1,0.0,0.0,0.0,0.0,0,v_wrong_system,1
darwin,GPT-4o-ACT,SNOMED,outcome,6,1,0.0,0.0,0.0,0.0,0,v_wrong_system,1
darwin,DeepSeek-R1-LTM,SNOMED,outcome,6,0,,0.0,,0.0,0,vi_omission,0
darwin,GPT-4o-LTM,SNOMED,outcome,4,1,0.0,0.0,0.0,0.0,0,v_wrong_system,1
darwin,GPT-4o-ACT,SNOMED,outcome,4,1,0.0,0.0,0.0,0.0,0,v_wrong_system,1
darwin,DeepSeek-R1-LTM,SNOMED,outcome,4,0,,0.0,,0.0,0,vi_omission,0
darwin,GPT-4o-LTM,SNOMED,outcome,4,0,,0.0,,0.0,0,vi_omission,0
darwin,GPT-4o-ACT,SNOMED,outcome,4,0,,0.0,,0.0,0,vi_omission,0
darwin,DeepSeek-R1-LTM,SNOMED,outcome,4,0,,0.0,,0.0,0,vi_omission,0
darwin,GPT-4o-LTM,SNOMED,outcome,1,0,,0.0,,0.0,0,vi_omission,0
darwin,GPT-4o-ACT,SNOMED,outcome,1,0,,0.0,,0.0,0,vi_omission,0
darwin,DeepSeek-R1-LTM,SNOMED,outcome,1,0,,0.0,,0.0,0,vi_omission,0
darwin,GPT-4o-LTM,SNOMED,outcome,31,6,0.0,0.0,0.0,0.0,0,v_wrong_system,1
darwin,GPT-4o-ACT,SNOMED,outcome,31,8,0.0,0.0,0.0,0.0,0,v_wrong_system,1
darwin,DeepSeek-R1-LTM,SNOMED,outcome,31,0,,0.0,,0.0,0,vi_omission,0
darwin,GPT-4o-LTM,SNOMED,outcome,28,0,,0.0,,0.0,0,vi_omission,0
darwin,GPT-4o-ACT,SNOMED,outcome,28,0,,0.0,,0.0,0,vi_omission,0
darwin,DeepSeek-R1-LTM,SNOMED,outcome,28,0,,0.0,,0.0,0,vi_omission,0
darwin,GPT-4o-LTM,ATC,exposure,6,5,1.0,0.8333333333333334,0.9090909090909091,0.8333333333333334,0,correct,0
darwin,GPT-4o-ACT,ATC,exposure,6,5,1.0,0.8333333333333334,0.9090909090909091,0.8333333333333334,0,correct,0
darwin,DeepSeek-R1-LTM,ATC,exposure,6,5,0.6,0.5,0.5454545454545454,0.375,0,correct,0
darwin,GPT-4o-LTM,RxNorm,exposure,9,5,0.0,0.0,0.0,0.0,0,v_wrong_system,1
darwin,GPT-4o-ACT,RxNorm,exposure,9,9,0.0,0.0,0.0,0.0,0,v_wrong_system,1
darwin,DeepSeek-R1-LTM,RxNorm,exposure,9,5,0.0,0.0,0.0,0.0,0,v_wrong_system,1
darwin,GPT-4o-LTM,ATC,exposure,3,5,0.4,0.6666666666666666,0.5,0.3333333333333333,0,correct,0
darwin,GPT-4o-ACT,ATC,exposure,3,3,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0,correct,0
darwin,DeepSeek-R1-LTM,ATC,exposure,3,4,0.0,0.0,0.0,0.0,0,vii_other_same_system,0
darwin,GPT-4o-LTM,ATC,exposure,3,0,,0.0,,0.0,0,vi_omission,0
darwin,GPT-4o-ACT,ATC,exposure,3,0,,0.0,,0.0,0,vi_omission,0
darwin,DeepSeek-R1-LTM,ATC,exposure,3,0,,0.0,,0.0,0,vi_omission,0
darwin,GPT-4o-LTM,RxNorm,exposure,7,0,,0.0,,0.0,0,vi_omission,0
darwin,GPT-4o-ACT,RxNorm,exposure,7,4,0.0,0.0,0.0,0.0,0,v_wrong_system,1
darwin,DeepSeek-R1-LTM,RxNorm,exposure,7,4,0.0,0.0,0.0,0.0,0,v_wrong_system,1
darwin,GPT-4o-LTM,ATC,exposure,27,5,1.0,0.18518518518518517,0.3125,0.18518518518518517,0,correct,0
darwin,GPT-4o-ACT,ATC,exposure,27,4,1.0,0.14814814814814814,0.25806451612903225,0.14814814814814814,0,correct,0
darwin,DeepSeek-R1-LTM,ATC,exposure,27,4,0.75,0.1111111111111111,0.19354838709677416,0.10714285714285714,0,correct,0
darwin,GPT-4o-LTM,RxNorm,exposure,27,5,0.0,0.0,0.0,0.0,0,v_wrong_system,1
darwin,GPT-4o-ACT,RxNorm,exposure,27,4,0.0,0.0,0.0,0.0,0,v_wrong_system,1
darwin,DeepSeek-R1-LTM,RxNorm,exposure,27,6,0.0,0.0,0.0,0.0,0,v_wrong_system,1
darwin,GPT-4o-LTM,ATC,exposure,7,4,0.75,0.42857142857142855,0.5454545454545454,0.375,0,correct,0
darwin,GPT-4o-ACT,ATC,exposure,7,4,1.0,0.5714285714285714,0.7272727272727273,0.5714285714285714,0,correct,0
darwin,DeepSeek-R1-LTM,ATC,exposure,7,3,1.0,0.42857142857142855,0.6,0.42857142857142855,0,correct,0
darwin,GPT-4o-LTM,RxNorm,exposure,6,4,0.0,0.0,0.0,0.0,0,v_wrong_system,1
darwin,GPT-4o-ACT,RxNorm,exposure,6,8,0.0,0.0,0.0,0.0,0,v_wrong_system,1
darwin,DeepSeek-R1-LTM,RxNorm,exposure,6,3,0.0,0.0,0.0,0.0,0,v_wrong_system,1
darwin,GPT-4o-LTM,SNOMED,exposure,148,0,,0.0,,0.0,0,vi_omission,0
darwin,GPT-4o-ACT,SNOMED,exposure,148,8,0.0,0.0,0.0,0.0,0,v_wrong_system,1
darwin,DeepSeek-R1-LTM,SNOMED,exposure,148,8,0.0,0.0,0.0,0.0,0,v_wrong_system,1
darwin,GPT-4o-LTM,SNOMED,outcome,26,0,,0.0,,0.0,0,vi_omission,0
darwin,GPT-4o-ACT,SNOMED,outcome,26,0,,0.0,,0.0,0,vi_omission,0
darwin,DeepSeek-R1-LTM,SNOMED,outcome,26,0,,0.0,,0.0,0,vi_omission,0
darwin,GPT-4o-LTM,SNOMED,outcome,94,1,0.0,0.0,0.0,0.0,0,v_wrong_system,1
darwin,GPT-4o-ACT,SNOMED,outcome,94,1,0.0,0.0,0.0,0.0,0,v_wrong_system,1
darwin,DeepSeek-R1-LTM,SNOMED,outcome,94,0,,0.0,,0.0,0,vi_omission,0
darwin,GPT-4o-LTM,SNOMED,outcome,22,0,,0.0,,0.0,0,vi_omission,0
darwin,GPT-4o-ACT,SNOMED,outcome,22,0,,0.0,,0.0,0,vi_omission,0
darwin,DeepSeek-R1-LTM,SNOMED,outcome,22,0,,0.0,,0.0,0,vi_omission,0
darwin,GPT-4o-LTM,SNOMED,outcome,21,1,0.0,0.0,0.0,0.0,0,v_wrong_system,1
darwin,GPT-4o-ACT,SNOMED,outcome,21,1,0.0,0.0,0.0,0.0,0,v_wrong_system,1
darwin,DeepSeek-R1-LTM,SNOMED,outcome,21,1,0.0,0.0,0.0,0.0,0,v_wrong_system,1
darwin,GPT-4o-LTM,SNOMED,outcome,43,0,,0.0,,0.0,0,vi_omission,0
darwin,GPT-4o-ACT,SNOMED,outcome,43,0,,0.0,,0.0,0,vi_omission,0
darwin,DeepSeek-R1-LTM,SNOMED,outcome,43,0,,0.0,,0.0,0,vi_omission,0
darwin,GPT-4o-LTM,SNOMED,outcome,96,0,,0.0,,0.0,0,vi_omission,0
darwin,GPT-4o-ACT,SNOMED,outcome,96,0,,0.0,,0.0,0,vi_omission,0
darwin,DeepSeek-R1-LTM,SNOMED,outcome,96,0,,0.0,,0.0,0,vi_omission,0
darwin,GPT-4o-LTM,SNOMED,outcome,40,0,,0.0,,0.0,0,vi_omission,0
darwin,GPT-4o-ACT,SNOMED,outcome,40,0,,0.0,,0.0,0,vi_omission,0
darwin,DeepSeek-R1-LTM,SNOMED,outcome,40,0,,0.0,,0.0,0,vi_omission,0
darwin,GPT-4o-LTM,SNOMED,outcome,4,4,0.0,0.0,0.0,0.0,0,v_wrong_system,1
darwin,GPT-4o-ACT,SNOMED,outcome,4,6,0.0,0.0,0.0,0.0,0,v_wrong_system,1
darwin,DeepSeek-R1-LTM,SNOMED,outcome,4,7,0.0,0.0,0.0,0.0,0,v_wrong_system,1
darwin,GPT-4o-LTM,RxNorm,exposure,58,9,0.0,0.0,0.0,0.0,0,v_wrong_system,1
darwin,GPT-4o-ACT,RxNorm,exposure,58,9,0.0,0.0,0.0,0.0,0,v_wrong_system,1
darwin,DeepSeek-R1-LTM,RxNorm,exposure,58,4,0.0,0.0,0.0,0.0,0,v_wrong_system,1
darwin,GPT-4o-LTM,RxNorm,exposure,3,3,0.0,0.0,0.0,0.0,0,v_wrong_system,1
darwin,GPT-4o-ACT,RxNorm,exposure,3,4,0.0,0.0,0.0,0.0,0,v_wrong_system,1
darwin,DeepSeek-R1-LTM,RxNorm,exposure,3,4,0.0,0.0,0.0,0.0,0,v_wrong_system,1
darwin,GPT-4o-LTM,SNOMED,outcome,64,4,0.0,0.0,0.0,0.0,0,v_wrong_system,1
darwin,GPT-4o-ACT,SNOMED,outcome,64,7,0.0,0.0,0.0,0.0,0,v_wrong_system,1
darwin,DeepSeek-R1-LTM,SNOMED,outcome,64,0,,0.0,,0.0,0,vi_omission,0
darwin,GPT-4o-LTM,SNOMED,outcome,14,4,0.0,0.0,0.0,0.0,0,v_wrong_system,1
darwin,GPT-4o-ACT,SNOMED,outcome,14,7,0.0,0.0,0.0,0.0,0,v_wrong_system,1
darwin,DeepSeek-R1-LTM,SNOMED,outcome,14,4,0.0,0.0,0.0,0.0,0,v_wrong_system,1
darwin,GPT-4o-LTM,ATC,exposure,142,4,1.0,0.028169014084507043,0.05479452054794521,0.028169014084507043,0,correct,0
darwin,GPT-4o-ACT,ATC,exposure,142,2,1.0,0.014084507042253521,0.02777777777777778,0.014084507042253521,0,correct,0
darwin,DeepSeek-R1-LTM,ATC,exposure,142,5,1.0,0.035211267605633804,0.06802721088435375,0.035211267605633804,0,correct,0
darwin,GPT-4o-LTM,RxNorm,exposure,140,3,0.0,0.0,0.0,0.0,0,v_wrong_system,1
darwin,GPT-4o-ACT,RxNorm,exposure,140,2,0.0,0.0,0.0,0.0,0,v_wrong_system,1
darwin,DeepSeek-R1-LTM,RxNorm,exposure,140,6,0.0,0.0,0.0,0.0,0,v_wrong_system,1
darwin,GPT-4o-LTM,SNOMED,outcome,128,11,0.0,0.0,0.0,0.0,0,v_wrong_system,1
darwin,GPT-4o-ACT,SNOMED,outcome,128,5,0.0,0.0,0.0,0.0,0,v_wrong_system,1
darwin,DeepSeek-R1-LTM,SNOMED,outcome,128,2,0.0,0.0,0.0,0.0,0,v_wrong_system,1
darwin,GPT-4o-LTM,SNOMED,outcome,116,0,,0.0,,0.0,0,vi_omission,0
darwin,GPT-4o-ACT,SNOMED,outcome,116,0,,0.0,,0.0,0,vi_omission,0
darwin,DeepSeek-R1-LTM,SNOMED,outcome,116,0,,0.0,,0.0,0,vi_omission,0
darwin,GPT-4o-LTM,SNOMED,outcome,43,0,,0.0,,0.0,0,vi_omission,0
darwin,GPT-4o-ACT,SNOMED,outcome,43,0,,0.0,,0.0,0,vi_omission,0
darwin,DeepSeek-R1-LTM,SNOMED,outcome,43,0,,0.0,,0.0,0,vi_omission,0
darwin,GPT-4o-LTM,SNOMED,outcome,75,0,,0.0,,0.0,0,vi_omission,0
darwin,GPT-4o-ACT,SNOMED,outcome,75,0,,0.0,,0.0,0,vi_omission,0
darwin,DeepSeek-R1-LTM,SNOMED,outcome,75,0,,0.0,,0.0,0,vi_omission,0
darwin,GPT-4o-LTM,SNOMED,outcome,1,0,,0.0,,0.0,0,vi_omission,0
darwin,GPT-4o-ACT,SNOMED,outcome,1,0,,0.0,,0.0,0,vi_omission,0
darwin,DeepSeek-R1-LTM,SNOMED,outcome,1,0,,0.0,,0.0,0,vi_omission,0
darwin,GPT-4o-LTM,SNOMED,outcome,77,0,,0.0,,0.0,0,vi_omission,0
darwin,GPT-4o-ACT,SNOMED,outcome,77,0,,0.0,,0.0,0,vi_omission,0
darwin,DeepSeek-R1-LTM,SNOMED,outcome,77,0,,0.0,,0.0,0,vi_omission,0
darwin,GPT-4o-LTM,SNOMED,outcome,6,0,,0.0,,0.0,0,vi_omission,0
darwin,GPT-4o-ACT,SNOMED,outcome,6,0,,0.0,,0.0,0,vi_omission,0
darwin,DeepSeek-R1-LTM,SNOMED,outcome,6,1,0.0,0.0,0.0,0.0,0,v_wrong_system,1
darwin,GPT-4o-LTM,SNOMED,outcome,102,0,,0.0,,0.0,0,vi_omission,0
darwin,GPT-4o-ACT,SNOMED,outcome,102,0,,0.0,,0.0,0,vi_omission,0
darwin,DeepSeek-R1-LTM,SNOMED,outcome,102,0,,0.0,,0.0,0,vi_omission,0
darwin,GPT-4o-LTM,SNOMED,outcome,296,0,,0.0,,0.0,0,vi_omission,0
darwin,GPT-4o-ACT,SNOMED,outcome,296,0,,0.0,,0.0,0,vi_omission,0
darwin,DeepSeek-R1-LTM,SNOMED,outcome,296,0,,0.0,,0.0,0,vi_omission,0
darwin,GPT-4o-LTM,RxNorm,outcome,7,4,0.0,0.0,0.0,0.0,0,v_wrong_system,0
darwin,GPT-4o-ACT,RxNorm,outcome,7,4,0.0,0.0,0.0,0.0,0,v_wrong_system,1
darwin,DeepSeek-R1-LTM,RxNorm,outcome,7,2,0.0,0.0,0.0,0.0,0,v_wrong_system,1
darwin,GPT-4o-LTM,ATC,outcome,7,4,0.25,0.14285714285714285,0.18181818181818182,0.1,0,correct,0
darwin,GPT-4o-ACT,ATC,outcome,7,4,0.0,0.0,0.0,0.0,0,i_broad,0
darwin,DeepSeek-R1-LTM,ATC,outcome,7,2,0.0,0.0,0.0,0.0,0,vii_other_same_system,0
darwin,GPT-4o-LTM,RxNorm,outcome,3,2,0.0,0.0,0.0,0.0,0,v_wrong_system,1
darwin,GPT-4o-ACT,RxNorm,outcome,3,0,,0.0,,0.0,0,vi_omission,0
darwin,DeepSeek-R1-LTM,RxNorm,outcome,3,0,,0.0,,0.0,0,vi_omission,0
darwin,GPT-4o-LTM,ATC,outcome,3,2,1.0,0.6666666666666666,0.8,0.6666666666666666,0,correct,0
darwin,GPT-4o-ACT,ATC,outcome,3,0,,0.0,,0.0,0,vi_omission,0
darwin,DeepSeek-R1-LTM,ATC,outcome,3,0,,0.0,,0.0,0,vi_omission,0
darwin,GPT-4o-LTM,RxNorm,outcome,4,0,,0.0,,0.0,0,vi_omission,0
darwin,GPT-4o-ACT,RxNorm,outcome,4,0,,0.0,,0.0,0,vi_omission,0
darwin,DeepSeek-R1-LTM,RxNorm,outcome,4,1,0.0,0.0,0.0,0.0,0,i_broad,0
darwin,GPT-4o-LTM,ATC,outcome,4,0,,0.0,,0.0,0,vi_omission,0
darwin,GPT-4o-ACT,ATC,outcome,4,0,,0.0,,0.0,0,vi_omission,0
darwin,DeepSeek-R1-LTM,ATC,outcome,4,1,0.0,0.0,0.0,0.0,0,iii_ingredient_product,0
darwin,GPT-4o-LTM,RxNorm,outcome,5,0,,0.0,,0.0,0,vi_omission,0
darwin,GPT-4o-ACT,RxNorm,outcome,5,0,,0.0,,0.0,0,vi_omission,0
darwin,DeepSeek-R1-LTM,RxNorm,outcome,5,0,,0.0,,0.0,0,vi_omission,0
darwin,GPT-4o-LTM,ATC,outcome,4,0,,0.0,,0.0,0,vi_omission,0
darwin,GPT-4o-ACT,ATC,outcome,4,0,,0.0,,0.0,0,vi_omission,0
darwin,DeepSeek-R1-LTM,ATC,outcome,4,0,,0.0,,0.0,0,vi_omission,0
darwin,GPT-4o-LTM,RxNorm,outcome,1,0,,0.0,,0.0,0,vi_omission,0
darwin,GPT-4o-ACT,RxNorm,outcome,1,0,,0.0,,0.0,0,vi_omission,0
darwin,DeepSeek-R1-LTM,RxNorm,outcome,1,0,,0.0,,0.0,0,vi_omission,0
darwin,GPT-4o-LTM,ATC,outcome,1,0,,0.0,,0.0,0,vi_omission,0
darwin,GPT-4o-ACT,ATC,outcome,1,0,,0.0,,0.0,0,vi_omission,0
darwin,DeepSeek-R1-LTM,ATC,outcome,1,0,,0.0,,0.0,0,vi_omission,0
darwin,GPT-4o-LTM,RxNorm,outcome,5,0,,0.0,,0.0,0,vi_omission,0
darwin,GPT-4o-ACT,RxNorm,outcome,5,0,,0.0,,0.0,0,vi_omission,0
darwin,DeepSeek-R1-LTM,RxNorm,outcome,5,0,,0.0,,0.0,0,vi_omission,0
darwin,GPT-4o-LTM,ATC,outcome,5,0,,0.0,,0.0,0,vi_omission,0
darwin,GPT-4o-ACT,ATC,outcome,5,0,,0.0,,0.0,0,vi_omission,0
darwin,DeepSeek-R1-LTM,ATC,outcome,5,0,,0.0,,0.0,0,vi_omission,0
darwin,GPT-4o-LTM,RxNorm,outcome,2,1,0.0,0.0,0.0,0.0,0,v_wrong_system,1
darwin,GPT-4o-ACT,RxNorm,outcome,2,1,0.0,0.0,0.0,0.0,0,v_wrong_system,1
darwin,DeepSeek-R1-LTM,RxNorm,outcome,2,0,,0.0,,0.0,0,vi_omission,0
darwin,GPT-4o-LTM,ATC,outcome,2,1,1.0,0.5,0.6666666666666666,0.5,0,correct,0
darwin,GPT-4o-ACT,ATC,outcome,2,1,1.0,0.5,0.6666666666666666,0.5,0,correct,0
darwin,DeepSeek-R1-LTM,ATC,outcome,2,0,,0.0,,0.0,0,vi_omission,0
darwin,GPT-4o-LTM,RxNorm,outcome,5,0,,0.0,,0.0,0,vi_omission,0
darwin,GPT-4o-ACT,RxNorm,outcome,5,0,,0.0,,0.0,0,vi_omission,0
darwin,DeepSeek-R1-LTM,RxNorm,outcome,5,1,0.0,0.0,0.0,0.0,0,v_wrong_system,1
darwin,GPT-4o-LTM,ATC,outcome,5,0,,0.0,,0.0,0,vi_omission,0
darwin,GPT-4o-ACT,ATC,outcome,5,0,,0.0,,0.0,0,vi_omission,0
darwin,DeepSeek-R1-LTM,ATC,outcome,5,1,1.0,0.2,0.33333333333333337,0.2,0,correct,0
darwin,GPT-4o-LTM,RxNorm,outcome,1,0,,0.0,,0.0,0,vi_omission,0
darwin,GPT-4o-ACT,RxNorm,outcome,1,0,,0.0,,0.0,0,vi_omission,0
darwin,DeepSeek-R1-LTM,RxNorm,outcome,1,0,,0.0,,0.0,0,vi_omission,0
darwin,GPT-4o-LTM,ATC,outcome,1,0,,0.0,,0.0,0,vi_omission,0
darwin,GPT-4o-ACT,ATC,outcome,1,0,,0.0,,0.0,0,vi_omission,0
darwin,DeepSeek-R1-LTM,ATC,outcome,1,0,,0.0,,0.0,0,vi_omission,0
Sentinel,GPT-4o-LTM,ICD,outcome,5,0,,0.0,,0.0,0,vi_omission,0
Sentinel,GPT-4o-ACT,ICD,outcome,5,2,1.0,0.4,0.5714285714285715,0.4,0,correct,0
Sentinel,DeepSeek-R1-LTM,ICD,outcome,5,2,0.0,0.0,0.0,0.0,0,vii_other_same_system,0
Sentinel,GPT-4o-LTM,CPT,outcome,3,1,1.0,0.3333333333333333,0.5,0.3333333333333333,0,correct,0
Sentinel,GPT-4o-ACT,CPT,outcome,3,1,1.0,0.3333333333333333,0.5,0.3333333333333333,0,correct,0
Sentinel,DeepSeek-R1-LTM,CPT,outcome,3,0,,0.0,,0.0,0,vi_omission,0
Sentinel,GPT-4o-LTM,ICD,outcome,4,2,1.0,0.5,0.6666666666666666,0.5,0,correct,0
Sentinel,GPT-4o-ACT,ICD,outcome,4,4,0.25,0.25,0.25,0.14285714285714285,0,correct,0
Sentinel,DeepSeek-R1-LTM,ICD,outcome,4,2,1.0,0.5,0.6666666666666666,0.5,0,correct,0
Sentinel,GPT-4o-LTM,ICD,outcome,6,4,0.5,0.3333333333333333,0.4,0.25,0,correct,0
Sentinel,GPT-4o-ACT,ICD,outcome,6,3,0.0,0.0,0.0,0.0,0,i_broad,0
Sentinel,DeepSeek-R1-LTM,ICD,outcome,6,2,1.0,0.3333333333333333,0.5,0.3333333333333333,0,correct,0
Sentinel,GPT-4o-LTM,CPT,exposure,1,0,,0.0,,0.0,0,vi_omission,0
Sentinel,GPT-4o-ACT,CPT,exposure,1,0,,0.0,,0.0,0,vi_omission,0
Sentinel,DeepSeek-R1-LTM,CPT,exposure,1,0,,0.0,,0.0,0,vi_omission,0
Sentinel,GPT-4o-LTM,ICD,exposure,1,0,,0.0,,0.0,0,vi_omission,0
Sentinel,GPT-4o-ACT,ICD,exposure,1,0,,0.0,,0.0,0,vi_omission,0
Sentinel,DeepSeek-R1-LTM,ICD,exposure,1,0,,0.0,,0.0,0,vi_omission,0
Sentinel,GPT-4o-LTM,ICD,outcome,1,0,,0.0,,0.0,0,vi_omission,0
Sentinel,GPT-4o-ACT,ICD,outcome,1,1,0.0,0.0,0.0,0.0,0,i_broad,0
Sentinel,DeepSeek-R1-LTM,ICD,outcome,1,0,,0.0,,0.0,0,vi_omission,0
Sentinel,GPT-4o-LTM,ICD,outcome,1,0,,0.0,,0.0,0,vi_omission,0
Sentinel,GPT-4o-ACT,ICD,outcome,1,1,1.0,1.0,1.0,1.0,1,correct,0
Sentinel,DeepSeek-R1-LTM,ICD,outcome,1,1,1.0,1.0,1.0,1.0,1,correct,0
Sentinel,GPT-4o-LTM,ICD,outcome,2,1,1.0,0.5,0.6666666666666666,0.5,0,correct,0
Sentinel,GPT-4o-ACT,ICD,outcome,2,2,1.0,1.0,1.0,1.0,1,correct,0
Sentinel,DeepSeek-R1-LTM,ICD,outcome,2,0,,0.0,,0.0,0,vi_omission,0
Sentinel,GPT-4o-LTM,ICD,outcome,1,1,1.0,1.0,1.0,1.0,1,correct,0
Sentinel,GPT-4o-ACT,ICD,outcome,1,1,1.0,1.0,1.0,1.0,1,correct,0
Sentinel,DeepSeek-R1-LTM,ICD,outcome,1,1,1.0,1.0,1.0,1.0,1,correct,0
Sentinel,GPT-4o-LTM,ICD,outcome,1,1,1.0,1.0,1.0,1.0,1,correct,0
Sentinel,GPT-4o-ACT,ICD,outcome,1,1,1.0,1.0,1.0,1.0,1,correct,0
Sentinel,DeepSeek-R1-LTM,ICD,outcome,1,0,,0.0,,0.0,0,vi_omission,0
Sentinel,GPT-4o-LTM,ICD,outcome,1,1,1.0,1.0,1.0,1.0,1,correct,0
Sentinel,GPT-4o-ACT,ICD,outcome,1,1,1.0,1.0,1.0,1.0,1,correct,0
Sentinel,DeepSeek-R1-LTM,ICD,outcome,1,1,1.0,1.0,1.0,1.0,1,correct,0
Sentinel,GPT-4o-LTM,ICD,outcome,3,0,,0.0,,0.0,0,vi_omission,0
Sentinel,GPT-4o-ACT,ICD,outcome,3,1,1.0,0.3333333333333333,0.5,0.3333333333333333,0,correct,0
Sentinel,DeepSeek-R1-LTM,ICD,outcome,3,0,,0.0,,0.0,0,vi_omission,0
Sentinel,GPT-4o-LTM,ICD,outcome,1,0,,0.0,,0.0,0,vi_omission,0
Sentinel,GPT-4o-ACT,ICD,outcome,1,0,,0.0,,0.0,0,vi_omission,0
Sentinel,DeepSeek-R1-LTM,ICD,outcome,1,1,0.0,0.0,0.0,0.0,0,i_broad,0
Sentinel,GPT-4o-LTM,ICD,outcome,28,3,0.3333333333333333,0.03571428571428571,0.06451612903225806,0.03333333333333333,0,correct,0
Sentinel,GPT-4o-ACT,ICD,outcome,28,1,0.0,0.0,0.0,0.0,0,ii_hallucination,0
Sentinel,DeepSeek-R1-LTM,ICD,outcome,28,0,,0.0,,0.0,0,vi_omission,0
Sentinel,GPT-4o-LTM,ICD,outcome,17,4,0.25,0.058823529411764705,0.09523809523809523,0.05,0,correct,0
Sentinel,GPT-4o-ACT,ICD,outcome,17,1,0.0,0.0,0.0,0.0,0,vii_other_same_system,0
Sentinel,DeepSeek-R1-LTM,ICD,outcome,17,4,0.25,0.058823529411764705,0.09523809523809523,0.05,0,correct,0
Sentinel,GPT-4o-LTM,ICD,outcome,13,2,1.0,0.15384615384615385,0.2666666666666667,0.15384615384615385,0,correct,0
Sentinel,GPT-4o-ACT,ICD,outcome,13,0,,0.0,,0.0,0,vi_omission,0
Sentinel,DeepSeek-R1-LTM,ICD,outcome,13,0,,0.0,,0.0,0,vi_omission,0
Sentinel,GPT-4o-LTM,ICD,outcome,62,2,1.0,0.03225806451612903,0.0625,0.03225806451612903,0,correct,0
Sentinel,GPT-4o-ACT,ICD,outcome,62,1,0.0,0.0,0.0,0.0,0,ii_hallucination,0
