source,config,llm,prompt,model_class,protocol,question,human_logic
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR5,9,2.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR6,1,5.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR6,2,5.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR6,3,5.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR6,4,4.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR6,5,5.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR6,6,4.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR6,7,3.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR6,8,5.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR6,9,5.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR7,1,5.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR7,2,5.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR7,3,
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR7,4,5.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR7,5,4.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR7,6,3.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR7,7,4.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR7,8,3.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR7,9,4.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR8,1,3.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR8,2,5.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR8,3,5.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR8,4,3.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR8,5,4.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR8,6,5.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR8,7,4.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR8,8,4.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR8,9,3.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR9,1,5.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR9,2,5.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR9,3,2.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR9,4,5.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR9,5,5.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR9,6,2.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR9,7,4.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR9,8,3.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR9,9,3.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR10,1,5.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR10,2,5.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR10,3,5.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR10,4,5.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR10,5,4.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR10,6,5.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR10,7,4.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR10,8,4.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR10,9,4.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR11,1,5.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR11,2,5.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR11,3,3.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR11,4,4.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR11,5,4.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR11,6,4.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR11,7,4.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR11,8,4.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR11,9,4.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR12,1,2.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR12,2,5.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR12,3,5.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR12,4,5.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR12,5,3.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR12,6,4.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR12,7,2.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR12,8,5.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR12,9,5.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR13,1,5.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR13,2,5.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR13,3,2.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR13,4,3.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR13,5,4.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR13,6,5.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR13,7,4.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR13,8,4.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR13,9,3.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR14,1,5.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR14,2,5.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR14,3,1.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR14,4,5.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR14,5,5.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR14,6,4.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR14,7,5.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR14,8,4.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR14,9,4.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR15,1,5.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR15,2,1.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR15,3,2.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR15,4,5.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR15,5,3.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR15,6,2.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR15,7,3.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR15,8,
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR15,9,3.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR16,1,5.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR16,2,5.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR16,3,2.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR16,4,5.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR16,5,
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR16,6,3.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR16,7,4.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR16,8,3.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR16,9,2.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR1,1,4.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR1,2,4.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR1,3,5.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR1,4,3.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR1,5,4.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR1,6,4.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR1,7,4.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR1,8,4.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR1,9,5.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR2,1,4.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR2,2,4.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR2,3,5.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR2,4,4.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR2,5,5.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR2,6,
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR2,7,4.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR2,8,4.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR2,9,5.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR3,1,4.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR3,2,5.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR3,3,4.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR3,4,3.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR3,5,4.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR3,6,3.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR3,7,4.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR3,8,4.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR3,9,5.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR4,1,5.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR4,2,5.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR4,3,4.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR4,4,4.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR4,5,4.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR4,6,4.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR4,7,4.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR4,8,4.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR4,9,5.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR5,1,5.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR5,2,4.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR5,3,4.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR5,4,4.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR5,5,4.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR5,6,3.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR5,7,4.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR5,8,4.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR5,9,5.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR6,1,5.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR6,2,4.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR6,3,5.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR6,4,4.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR6,5,4.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR6,6,5.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR6,7,4.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR6,8,3.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR6,9,
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR7,1,5.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR7,2,4.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR7,3,
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR7,4,5.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR7,5,5.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR7,6,
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR7,7,3.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR7,8,4.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR7,9,3.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR8,1,5.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR8,2,3.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR8,3,
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR8,4,
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR8,5,4.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR8,6,
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR8,7,4.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR8,8,4.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR8,9,4.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR9,1,5.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR9,2,4.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR9,3,4.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR9,4,3.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR9,5,4.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR9,6,4.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR9,7,4.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR9,8,3.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR9,9,4.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR10,1,5.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR10,2,4.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR10,3,5.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR10,4,3.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR10,5,4.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR10,6,
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR10,7,5.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR10,8,4.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR10,9,4.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR11,1,5.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR11,2,4.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR11,3,4.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR11,4,5.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR11,5,5.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR11,6,
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR11,7,2.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR11,8,4.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR11,9,5.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR12,1,4.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR12,2,5.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR12,3,5.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR12,4,4.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR12,5,
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR12,6,4.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR12,7,4.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR12,8,5.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR12,9,
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR13,1,5.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR13,2,4.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR13,3,4.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR13,4,4.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR13,5,2.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR13,6,
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR13,7,2.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR13,8,4.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR13,9,5.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR14,1,5.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR14,2,4.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR14,3,4.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR14,4,
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR14,5,
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR14,6,4.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR14,7,3.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR14,8,4.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR14,9,5.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR15,1,5.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR15,2,3.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR15,3,4.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR15,4,4.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR15,5,4.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR15,6,3.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR15,7,2.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR15,8,4.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR15,9,5.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR16,1,5.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR16,2,4.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR16,3,5.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR16,4,4.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR16,5,
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR16,6,4.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR16,7,3.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR16,8,3.0
DARWIN,GPT-4o-ACT,GPT-4o,ACT,Non-Biomedical,DAR16,9,4.0
DARWIN,DeepSeek-R1-LTM,DeepSeek-R1,LTM,Non-Biomedical,DAR1,1,5.0
DARWIN,DeepSeek-R1-LTM,DeepSeek-R1,LTM,Non-Biomedical,DAR1,2,4.0
DARWIN,DeepSeek-R1-LTM,DeepSeek-R1,LTM,Non-Biomedical,DAR1,3,
